ASIN,title,Price,Ratings,Brand,Amazon_choice,Product_Url
B004VF4D9E,GPX HC221B Compact CD Player Stereo Home Music System with AM/ FM Tuner Black/Silver,,3.9 ,GPX,nan,https://www.amazon.com/GPX-HC221B-Compact-Player-Stereo/dp/B004VF4D9E/ref=sr_1_4?dchild=1&keywords=Compact+Mini+Stereo+System+Shelf+CD+Player+MP3+AM%2FFM+Radio+Speakers+Remote&qid=1596694674&sr=8-4&tag=pricee0d-20
B004VF4D9E,GPX HC221B Compact CD Player Stereo Home Music System with AM/ FM Tuner Black/Silver,,3.9 ,GPX,nan,https://www.amazon.com/GPX-HC221B-Compact-Player-Stereo/dp/B004VF4D9E?tag=pricee0d-20
B00PM1KCJG,"Nutrisystem® Double Chocolate Muffin, 16 ct, Muffins for Weight Loss",,4.0 ,,nan,https://www.amazon.com/Nutrisystem-Double-Chocolate-Mega-Muffin-16/dp/B00PM1KCJG/ref=sr_1_5?dchild=1&keywords=Nutri+High+Fiber+and+Protein+Diet+Muffin+Breakfast+Bread+Chocolate+Mega+16+Pack&qid=1610671109&sr=8-5&tag=pricee0d-20
B0071I0Q5S,"3-way Mini Box Speaker System - 3.5 Inch 200 Watt Weatherproof Marine Grade Mount Speakers - in a Heavy Duty ABS Enclosure Grill - Home, Boat, Poolside, Patio Indoor Outdoor Use - Pyle PLMR24B (Black)",,4.3 ,Pyle,True,https://www.amazon.com/3-way-Mini-Box-Speaker-System/dp/B0071I0Q5S/ref=sr_1_2?dchild=1&keywords=Outdoor+Speakers+Pair+System+200+W+Weatherproof+Patio+Pool+Backyard+Deck+Black&qid=1612238183&sr=8-2&tag=pricee0d-20
B00YO2T9QQ,"Sylvania SP328-Silver Portable Speaker with Bluetooth, Connect to iPhone, iPad or Android, Double Subwoofer Heavy Bass, Perfect for Events, Silver",,3.9 ,SYLVANIA,nan,https://www.amazon.com/Sylvania-SP328-Silver-Portable-Bluetooth-Speaker/dp/B00YO2T9QQ?tag=pricee0d-20
B002PU9Q4O,"Air King BFQ 110 BFQ110 Exhaust Fan, 100-CFM",,4.4 ,Air King,nan,https://www.amazon.com/Air-King-BFQ-110-Exhaust/dp/B002PU9Q4O/ref=sr_1_1?dchild=1&keywords=752913163869&qid=1610670114&sr=8-1&tag=pricee0d-20
B00AHYLJJA,"Engel UC19C1 19 Quart Leak-Proof air-Tight drybox/Cooler, Camouflage",,4.7 ,ENGEL,True,https://www.amazon.com/Engel-Cooler-Dry-Box-Grassland/dp/B00AHYLJJA/ref=sr_1_11?dchild=1&keywords=Long+Cooler&qid=1610631285&sr=8-11&tag=pricee0d-20
B0037XH3JI,"Update International WPP-1236 Pizza Peel, 12"" x 14"", Wood",,4.4 ,Update International,nan,https://www.amazon.com/Premium-36-Wooden-Pizza-Peel/dp/B0037XH3JI?th=1&tag=pricee0d-20
B07V2H28GF,"Foldable Bluetooth Headphones, AMORNO Wireless Neckband Sports Headset with Retractable Earbuds, Sweatproof Noise Cancelling Stereo Earphones with Mic (Black)",,4.1 ,AMORNO,nan,https://www.amazon.com/Headphones-AMORNO-Retractable-Sweatproof-Cancelling/dp/B07V2H28GF?th=1&tag=pricee0d-20
B001L8PIFW,Fender Frontman 10G Electric Guitar Amplifier,99.99,4.6 ,Fender,True,https://www.amazon.com/Fender-Frontman-Electric-Guitar-Amplifier/dp/B001L8PIFW/ref=sr_1_1?dchild=1&keywords=Fender+Electric+Guitar+Violin+10W+Mini+Portable+Amplifier+Musical+Instrumant+Amp&qid=1607484962&sr=8-1&tag=pricee0d-20
